Date,Price,Open,High,Low,Vol,Change_%,Price_Diff,Prev_Close_1,Prev_Close_2,Prev_Close_3,MA_3,MA_5,MA_7,MA_14,MA_30,Momentum_3,Momentum_7,Volatility_7,Volatility_14,EMA_7,EMA_14,Daily_Change_%,Target_Change_%
2025-10-31,3996.5,4038.2,4059.9,3982.3,237.17K,-0.48,-41.69999999999982,4015.9,3986.2,3968.7,3999.5333333333333,3994.56,4036.6,4119.5,,27.800000000000182,-68.90000000000009,73.34475668603237,121.74962959981602,4035.3100254029036,4081.4163001641396,-0.48307975796210156,0.43788314775428105
2025-11-03,4014.0,4001.0,4043.1,3971.3,227.07K,0.44,13.0,3996.5,4015.9,3986.2,4008.8000000000006,3996.2599999999998,4017.7999999999997,4108.828571428571,,27.800000000000182,-131.60000000000036,55.426227245471146,124.13000894577922,4029.982519052178,4072.427460142255,0.43788314775428105,-1.3328350772296993
2025-11-04,3960.5,4013.7,4018.0,3937.1,250.26K,-1.33,-53.19999999999982,4014.0,3996.5,4015.9,3990.333333333334,3994.62,3992.4714285714285,4091.6071428571427,,-55.40000000000009,-177.30000000000018,21.69844190148968,126.96156574264634,4012.6118892891336,4057.503798789954,-1.3328350772296993,0.8180785254387146
2025-11-05,3992.9,3939.5,4000.7,3935.7,175.16K,0.82,53.40000000000009,3960.5,4014.0,3996.5,3989.1333333333337,3995.96,3990.671428571429,4069.342857142857,,-3.599999999999909,-12.599999999999909,20.94713300077897,113.33662395567679,4007.68391696685,4048.889958951294,0.8180785254387146,-0.047584462420802165
2025-11-06,3991.0,3992.4,4028.7,3973.2,188.69K,-0.05,-1.400000000000091,3992.9,3960.5,4014.0,3981.466666666667,3990.9800000000005,3993.8571428571427,4053.464285714286,,-23.0,22.300000000000182,18.61458721387065,107.01244073717625,4003.512937725138,4041.171297757788,-0.047584462420802165,0.4710598847406766
2025-11-07,4009.8,3986.9,4035.8,3981.6,208.65K,0.47,22.90000000000009,3991.0,3992.9,3960.5,3997.9,3993.6400000000003,3997.2285714285713,4028.4928571428572,,49.30000000000018,23.600000000000364,19.12674517403101,61.04948137228057,4005.0847032938536,4036.9884580567496,0.4710598847406766,2.798144545862624
2025-11-10,4122.0,4007.2,4124.0,4004.2,253.81K,2.8,114.80000000000018,4009.8,3991.0,3992.9,4040.933333333334,4015.2400000000002,4012.3857142857146,4029.414285714286,,129.0999999999999,106.09999999999991,51.32593329469381,62.441170554530984,4034.31352747039,4048.3233303158495,2.798144545862624,-0.1382823871906802
2025-11-11,4116.3,4124.0,4155.0,4102.8,252.25K,-0.14,-7.699999999999818,4122.0,4009.8,3991.0,4082.7000000000007,4046.4,4029.5,4033.0499999999997,,125.30000000000018,119.80000000000018,63.641757780039775,66.07384854493264,4054.8101456027925,4057.3868862737363,-0.1382823871906802,2.3637732915482434
2025-11-12,4213.6,4132.2,4218.5,4104.4,296.80K,2.36,81.40000000000055,4116.3,4122.0,4009.8,4150.633333333334,4090.54,4058.014285714286,4037.907142857143,,203.80000000000018,199.60000000000036,93.32983496844938,76.63866732707817,4094.5076092020945,4078.2153014372384,2.3637732915482434,-0.4532940953104303
2025-11-13,4194.5,4202.4,4250.0,4148.5,4.47K,-0.45,-7.899999999999636,4213.6,4116.3,4122.0,4174.8,4131.24,4091.4428571428575,4041.9571428571426,,72.5,234.0,94.48084209938744,83.51343249198673,4119.505706901571,4093.7199279122733,-0.4532940953104303,-2.1633090952437706
