"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","4,099.22","4,186.46","4,211.26","4,032.47","","-1.73%"
"11/13/2025","4,171.46","4,198.75","4,245.20","4,145.41","","-0.65%"
"11/12/2025","4,198.73","4,126.68","4,211.96","4,098.76","","1.75%"
"11/11/2025","4,126.68","4,115.91","4,149.20","4,097.09","","0.26%"
"11/10/2025","4,115.90","3,999.94","4,116.26","3,997.87","","2.90%"
"11/07/2025","3,999.72","3,977.92","4,027.63","3,974.41","","0.55%"
"11/06/2025","3,977.87","3,982.59","4,019.84","3,964.46","","-0.12%"
"11/05/2025","3,982.62","3,932.06","3,990.60","3,929.61","","1.29%"
"11/04/2025","3,932.05","4,001.67","4,006.00","3,928.66","","-1.74%"
"11/03/2025","4,001.67","4,002.28","4,030.70","3,962.85","","-0.02%"
"10/31/2025","4,002.28","4,024.37","4,046.00","3,972.45","","-0.55%"
"10/30/2025","4,024.47","3,931.15","4,027.44","3,915.17","","2.39%"
"10/29/2025","3,930.38","3,952.52","4,030.40","3,917.12","","-0.56%"
"10/28/2025","3,952.58","3,983.41","4,020.11","3,886.49","","-0.73%"
"10/27/2025","3,981.59","4,065.35","4,109.33","3,971.34","","-3.17%"
"10/24/2025","4,112.10","4,127.13","4,144.70","4,044.70","","-0.34%"
"10/23/2025","4,126.17","4,095.57","4,154.96","4,065.49","","0.78%"
"10/22/2025","4,094.07","4,123.10","4,161.65","4,004.69","","-0.75%"
"10/21/2025","4,125.10","4,355.55","4,375.59","4,086.47","","-5.31%"
"10/20/2025","4,356.50","4,251.82","4,381.60","4,218.81","","2.51%"
"10/17/2025","4,249.98","4,328.75","4,379.44","4,186.91","","-1.76%"
"10/16/2025","4,326.18","4,209.81","4,330.91","4,199.60","","2.79%"
"10/15/2025","4,208.58","4,144.40","4,218.42","4,140.45","","1.60%"
"10/14/2025","4,142.31","4,108.98","4,180.39","4,090.49","","0.77%"
